ID,texto_resumido,texto_original
227881,"LAS EXENCIONES TRIBUTARIAS A QUE SE REFIEREN LOS ARTICULOS 1º A 4º DE LA LEY 19.640 SERAN APLICABLES PARA LOS RESPECTIVOS HECHOS GRAVADOS QUE SE ULTIMARAN DESDE LA FECHA, INCLUSIVE, DE LA ENTRADA EN VIGOR DE LA CITADA LEY. PARA EL IMPUESTO A LOS REDITOS, SE ENTENDERA QUE LA CITADA EXENCION ES APLICABLE A LOS EJERCICIOS FISCALES ANUALES CUYO CIERRE SE PRODUZCA DESDE LA FECHA, INCLUSIVE, DE LA MENCIONADA ENTRADA EN VIGOR.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/227881/norma.htm
227881,"LAS EXENCIONES TRIBUTARIAS A QUE SE REFIEREN LOS ARTICULOS 1º A 4º DE LA LEY 19.640 SERAN APLICABLES PARA LOS RESPECTIVOS HECHOS GRAVADOS QUE SE ULTIMARAN DESDE LA FECHA, INCLUSIVE, DE LA ENTRADA EN VIGOR DE LA CITADA LEY. PARA EL IMPUESTO A LOS REDITOS, SE ENTENDERA QUE LA CITADA EXENCION ES APLICABLE A LOS EJERCICIOS FISCALES ANUALES CUYO CIERRE SE PRODUZCA DESDE LA FECHA, INCLUSIVE, DE LA MENCIONADA ENTRADA EN VIGOR.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/227881/norma.htm
227881,"LAS EXENCIONES TRIBUTARIAS A QUE SE REFIEREN LOS ARTICULOS 1º A 4º DE LA LEY 19.640 SERAN APLICABLES PARA LOS RESPECTIVOS HECHOS GRAVADOS QUE SE ULTIMARAN DESDE LA FECHA, INCLUSIVE, DE LA ENTRADA EN VIGOR DE LA CITADA LEY. PARA EL IMPUESTO A LOS REDITOS, SE ENTENDERA QUE LA CITADA EXENCION ES APLICABLE A LOS EJERCICIOS FISCALES ANUALES CUYO CIERRE SE PRODUZCA DESDE LA FECHA, INCLUSIVE, DE LA MENCIONADA ENTRADA EN VIGOR.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/227881/norma.htm
227881,"LAS EXENCIONES TRIBUTARIAS A QUE SE REFIEREN LOS ARTICULOS 1º A 4º DE LA LEY 19.640 SERAN APLICABLES PARA LOS RESPECTIVOS HECHOS GRAVADOS QUE SE ULTIMARAN DESDE LA FECHA, INCLUSIVE, DE LA ENTRADA EN VIGOR DE LA CITADA LEY. PARA EL IMPUESTO A LOS REDITOS, SE ENTENDERA QUE LA CITADA EXENCION ES APLICABLE A LOS EJERCICIOS FISCALES ANUALES CUYO CIERRE SE PRODUZCA DESDE LA FECHA, INCLUSIVE, DE LA MENCIONADA ENTRADA EN VIGOR.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/227881/norma.htm
71,SUSPENSION TEMPORAL Y PARCIAL DE CIERTOS BENEFICIOS EN EL IMPUESTO AL VALOR AGREGADO EN VIRTUD DE REGIMENES DE PROMOCION REGIONALES. SECTORIALES O ESPECIALES. PROMULGADA POR DEC. NRO. 802 DEL 9-6-89.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/71/norma.htm
71,SUSPENSION TEMPORAL Y PARCIAL DE CIERTOS BENEFICIOS EN EL IMPUESTO AL VALOR AGREGADO EN VIRTUD DE REGIMENES DE PROMOCION REGIONALES. SECTORIALES O ESPECIALES. PROMULGADA POR DEC. NRO. 802 DEL 9-6-89.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/71/norma.htm
71,SUSPENSION TEMPORAL Y PARCIAL DE CIERTOS BENEFICIOS EN EL IMPUESTO AL VALOR AGREGADO EN VIRTUD DE REGIMENES DE PROMOCION REGIONALES. SECTORIALES O ESPECIALES. PROMULGADA POR DEC. NRO. 802 DEL 9-6-89.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/71/norma.htm
71,SUSPENSION TEMPORAL Y PARCIAL DE CIERTOS BENEFICIOS EN EL IMPUESTO AL VALOR AGREGADO EN VIRTUD DE REGIMENES DE PROMOCION REGIONALES. SECTORIALES O ESPECIALES. PROMULGADA POR DEC. NRO. 802 DEL 9-6-89.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/71/norma.htm
15,SE SUSPENDEN BENEFICIOS PROMOCIONALES. ADOPCION DE MEDIDAS ECONOMICAS EN RAZON DEL ESTADO DE EMERGENCIA POR EL QUE ATRAVIESA EL ESTADO NACIONAL. PROMULGADA POR DEC.769 DEL 15-9-89. ABROGASE LA LEY N° 23.668,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/norma.htm
15,SE SUSPENDEN BENEFICIOS PROMOCIONALES. ADOPCION DE MEDIDAS ECONOMICAS EN RAZON DEL ESTADO DE EMERGENCIA POR EL QUE ATRAVIESA EL ESTADO NACIONAL. PROMULGADA POR DEC.769 DEL 15-9-89. ABROGASE LA LEY N° 23.668,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/norma.htm
