ID Moda,ID
28185,227881
28185,129440
129082,129440
28185,71
18771,15
15764,15
28195,15
191485,15
64611,15
88759,15
37912,15
64610,15
25553,15
28185,15
69798,15
25552,15
45186,15
27287,15
14,15
60,15
70,15
71,15
1169,15
1359,15
28185,15468
186244,15468
41376,161
18771,161
28185,161
17699,161
89937,161
172715,161
56254,161
33482,161
51364,161
16536,161
22268,161
60,161
69,161
141,161
25553,4389
28185,4389
37924,4389
60,4389
98,4389
15,4389
1653,4389
2894,4389
3189,4389
4215,4389
28185,6325
227881,6325
45813,365
28195,365
46874,365
16078,365
28127,365
31924,365
270584,365
19875,365
38871,365
28185,365
28126,365
270749,365
62459,365
18795,365
123779,365
170799,365
154617,365
16071,365
79745,365
51364,365
64612,365
79746,365
172962,365
47999,365
28082,365
304419,365
16092,365
20643,365
195,365
298,365
283,365
295,365
819,365
119942,365
120044,365
39736,6965
28185,6965
16536,6965
28185,824
37924,824
28185,8915
28185,9197
28185,13252
32386,13252
28185,15388
129082,15388
28185,16739
28185,10082
176,10082
17,10082
28185,10691
28185,11490
28185,11862
28185,37767
60,37767
28185,12905
129082,12905
15468,12905
10531,12905
28185,16670
28185,27897
725,27897
22640,27897
24541,31692
158987,31692
28185,31692
17440,31692
16309,31692
32199,31692
28196,31692
32191,31692
19879,31692
28197,31692
32031,31692
28198,31692
23893,31692
22304,31692
60,31692
381,31692
7258,31692
7389,31692
7396,31692
7516,31692
7783,31692
12368,31692
464,31692
8661,31692
8741,31692
8784,31692
8808,31692
475,31692
554,31692
10619,31692
17009,31692
639,31692
9419,31692
10221,31692
11660,31692
12901,31692
790,31692
14684,31692
16102,31692
25621,31692
41376,38621
18771,38621
28185,38621
51364,38621
28198,38621
381,38621
12907,38621
13105,38621
28185,43776
28185,44039
15388,44039
45165,44911
28185,44911
17699,44911
21108,44911
12368,44911
639,44911
39523,44911
24541,48163
18771,48163
28185,48163
28196,48163
32191,48163
17694,48163
19879,48163
28197,48163
32031,48163
28198,48163
24117,48163
16090,48163
60,48163
98,48163
248,48163
277,48163
381,48163
384,48163
442,48163
12368,48163
469,48163
472,48163
17,48163
554,48163
17009,48163
639,48163
767,48163
793,48163
802,48163
15932,48163
25031,48163
25394,48163
27971,48163
31692,48163
34209,48163
41170,48163
42163,48163
42762,48163
42924,48163
42930,48163
43420,48163
44910,48163
28185,49371
37924,49371
28196,49371
32191,49371
28185,52627
16670,52627
28185,54357
28185,57189
725,57189
54479,57189
24541,61920
19622,61920
28185,61920
28196,61920
32191,61920
19879,61920
28197,61920
32031,61920
28198,61920
23024,61920
21108,61920
63,61920
3647,61920
277,61920
554,61920
18973,61920
15626,61920
16331,61920
31688,61920
32658,61920
43279,61920
50229,61920
54254,61920
55192,61920
56741,61920
58541,61920
60039,61920
60181,61920
60555,61920
61086,61920
61629,61920
61898,61920
18771,65015
38822,65015
53050,65015
45628,65015
63207,65015
28185,65015
17440,65015
63206,65015
25552,65015
27238,65015
190,65015
365,65015
412,65015
639,65015
725,65015
14733,65015
27971,65015
31989,65015
38621,65015
41379,65015
46927,65015
48356,65015
48890,65015
51804,65015
52021,65015
63197,65015
28185,81583
15388,81583
28185,82954
71477,82954
28185,96668
28185,104095
15388,104095
28185,106197
10470,106197
725,106197
54479,106197
